rate_arg,size_bytes,duration_s,offered_bps,delivered_bps,loss_pct,jitter_ms,lost,total
100k,256,5.0,100000.0,91500.0,8.5,29.383,21,247
100k,1024,5.0,100000.0,100000.0,0.0,6.948,0,64
100k,1400,5.0,100000.0,102000.0,0.0,24.206,0,47
500k,256,5.0,500000.0,238000.0,52.0,14.338,637,1223
500k,1024,5.0,500000.0,489000.0,1.9,25.85,6,308
500k,1400,5.0,500000.0,487000.0,2.7,31.257,6,226
1M,256,5.0,1000000.0,67300.0,47.0,8.398,1211,2563
1M,1024,5.0,1000000.0,1030000.0,1.2,14.086,8,642
1M,1400,5.0,1000000.0,1020000.0,1.9,18.358,9,471
3M,256,5.0,3000000.0,83300.0,34.0,3.579,2646,7683
3M,1024,5.0,3000000.0,2790000.0,0.99,5.349,19,1922
3M,1400,5.0,3000000.0,3040000.0,1.1,6.883,15,1407
